Region/state of residence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
New Mexico,5997.0,6264.0,6430.0,6514.0,6679.0,6697.0,7010.0,7418.0,7717.0,7973.0,8154.0,8459.0,8902.0
Oklahoma,6372.0,6514.0,6664.0,6937.0,7212.0,7316.0,7658.0,7902.0,8132.0,8382.0,8625.0,8923.0,9444.0
Texas,5741.0,5973.0,6111.0,6259.0,6475.0,6510.0,6825.0,7217.0,7393.0,7572.0,7711.0,8028.0,8406.0
Rocky Mountains,5605.0,5767.0,5883.0,6032.0,6229.0,6355.0,6645.0,6988.0,7237.0,7524.0,7866.0,8139.0,8497.0
Colorado,5692.0,5860.0,5932.0,6061.0,6221.0,6364.0,6680.0,7075.0,7323.0,7615.0,7998.0,8286.0,8583.0
Idaho,5448.0,5668.0,5909.0,6052.0,6283.0,6377.0,6615.0,6843.0,6974.0,7257.0,7444.0,7723.0,8148.0
Montana,6345.0,6637.0,6919.0,7150.0,7461.0,7703.0,7942.0,8344.0,8680.0,9030.0,9354.0,9808.0,10212.0
Utah,5021.0,5099.0,5133.0,5280.0,5474.0,5554.0,5825.0,6112.0,6398.0,6628.0,7008.0,7193.0,7522.0
Wyoming,6796.0,6943.0,7244.0,7482.0,7749.0,7845.0,8269.0,8652.0,8976.0,9496.0,9787.0,10111.0,10989.0
Far West,6124.0,6318.0,6552.0,6784.0,7066.0,7245.0,7516.0,8005.0,8312.0,8566.0,8992.0,9501.0,10076.0
Alaska,8314.0,8550.0,8927.0,9343.0,9930.0,10085.0,10535.0,11460.0,11761.0,12303.0,12695.0,13226.0,13642.0
California,6035.0,6207.0,6480.0,6741.0,7038.0,7241.0,7472.0,7998.0,8325.0,8594.0,9069.0,9628.0,10299.0
Hawaii,6364.0,6510.0,6440.0,6460.0,6738.0,6880.0,7224.0,7747.0,8041.0,8496.0,8932.0,9555.0,10291.0
Nevada,5614.0,5695.0,5788.0,5973.0,6056.0,6259.0,6723.0,6987.0,7377.0,7642.0,7892.0,8114.0,8348.0
Oregon,6232.0,6502.0,6750.0,6987.0,7159.0,7378.0,7899.0,8438.0,8699.0,8827.0,9168.0,9635.0,10071.0
Washington,6489.0,6805.0,6912.0,7022.0,7333.0,7356.0,7602.0,7904.0,8097.0,8278.0,8588.0,8964.0,9265.0
