Region/state of residence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
New Mexico,7811.0,8131.0,8273.0,8476.0,8545.0,8581.0,8709.0,8873.0,9087.0,9302.0,9579.0,9953.0,9796.0
Oklahoma,9688.0,9934.0,10238.0,10285.0,10192.0,10185.0,10460.0,10717.0,10964.0,11435.0,11921.0,12629.0,12428.0
Texas,11020.0,11492.0,11663.0,11814.0,11779.0,11745.0,11919.0,12118.0,12178.0,12362.0,12744.0,13394.0,13458.0
Rocky Mountains,7960.0,8272.0,8432.0,8589.0,8697.0,8709.0,8991.0,9179.0,9315.0,9693.0,9992.0,10412.0,10330.0
Colorado,8376.0,8702.0,8865.0,8943.0,9023.0,8931.0,9239.0,9427.0,9549.0,9943.0,10234.0,10615.0,10582.0
Idaho,7455.0,7800.0,7877.0,8181.0,8351.0,8410.0,8749.0,8886.0,9046.0,9230.0,9505.0,9928.0,9948.0
Montana,7324.0,7421.0,7596.0,7683.0,7821.0,8012.0,8208.0,8381.0,8600.0,9101.0,9275.0,9787.0,9338.0
Utah,7947.0,8300.0,8425.0,8638.0,8730.0,8824.0,9055.0,9221.0,9311.0,9802.0,10160.0,10665.0,10664.0
Wyoming,7596.0,8001.0,8444.0,8717.0,8826.0,8839.0,9096.0,9545.0,9712.0,9870.0,10342.0,10590.0,10274.0
Far West,9792.0,10197.0,10338.0,10595.0,10701.0,10828.0,10948.0,11272.0,11457.0,11648.0,12000.0,12532.0,12536.0
Alaska,8089.0,8617.0,8554.0,8828.0,8783.0,9091.0,9357.0,9376.0,9888.0,10117.0,10524.0,11027.0,10600.0
California,10549.0,10975.0,11142.0,11421.0,11529.0,11680.0,11769.0,12146.0,12320.0,12488.0,12877.0,13485.0,13564.0
Hawaii,7406.0,7686.0,7864.0,8143.0,8307.0,8277.0,8547.0,8802.0,9006.0,9071.0,9342.0,9812.0,9837.0
Nevada,9291.0,9756.0,10043.0,10342.0,10389.0,10553.0,10791.0,11118.0,11400.0,11662.0,12075.0,12614.0,12503.0
Oregon,7909.0,8220.0,8316.0,8504.0,8567.0,8644.0,8904.0,9156.0,9372.0,9659.0,9940.0,10326.0,10263.0
Washington,8054.0,8437.0,8448.0,8631.0,8803.0,8875.0,8992.0,9172.0,9347.0,9606.0,9854.0,10164.0,9966.0
