Region/state of residence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
New Mexico,6371.0,6311.0,5884.0,5441.0,5333.0,5315.0,5326.0,5302.0,4821.0,4698.0,5049.0,5342.0,5700.0
Oklahoma,6251.0,6146.0,5841.0,5767.0,6228.0,6170.0,6425.0,6464.0,6624.0,6680.0,7054.0,7631.0,7045.0
Texas,6161.0,6526.0,6638.0,6559.0,6207.0,6568.0,7124.0,7333.0,7438.0,7155.0,7622.0,7978.0,8071.0
Rocky Mountains,7332.0,7219.0,7303.0,6807.0,7304.0,7691.0,7080.0,6962.0,6658.0,6997.0,7966.0,8645.0,8401.0
Colorado,7110.0,6976.0,7183.0,7111.0,7534.0,7982.0,7023.0,6947.0,6540.0,6838.0,8296.0,8824.0,8366.0
Idaho,6965.0,7041.0,7660.0,6046.0,6873.0,7247.0,7007.0,6842.0,6462.0,6643.0,7702.0,8437.0,8127.0
Montana,9409.0,9584.0,9545.0,7623.0,8693.0,8627.0,9201.0,8737.0,6881.0,7305.0,6880.0,7310.0,7888.0
Utah,7024.0,6762.0,6340.0,6261.0,6484.0,6945.0,6377.0,6133.0,6708.0,7216.0,7581.0,9056.0,8877.0
Wyoming,8161.0,7983.0,7453.0,7450.0,7784.0,8026.0,7546.0,8060.0,8477.0,9097.0,9543.0,10052.0,9825.0
Far West,4866.0,4898.0,5021.0,5160.0,5580.0,5993.0,5412.0,6398.0,6902.0,6566.0,6620.0,7206.0,7701.0
Alaska,10702.0,11330.0,10666.0,11285.0,11743.0,11358.0,11605.0,11428.0,11159.0,9976.0,9598.0,9785.0,8468.0
California,4469.0,4531.0,4700.0,4895.0,5385.0,5850.0,5161.0,6500.0,7164.0,6644.0,6556.0,7179.0,7929.0
Hawaii,6065.0,5338.0,5837.0,5719.0,4937.0,5538.0,5805.0,5365.0,5316.0,5345.0,5301.0,5688.0,5291.0
Nevada,6286.0,5781.0,5229.0,4855.0,5599.0,5043.0,5373.0,5766.0,5556.0,5823.0,6226.0,6986.0,6074.0
Oregon,7496.0,7681.0,7128.0,6693.0,6651.0,7513.0,7057.0,6713.0,6866.0,7421.0,8232.0,8622.0,8377.0
Washington,6117.0,5898.0,5855.0,5855.0,6141.0,6185.0,5744.0,5545.0,5719.0,5746.0,6173.0,6627.0,6876.0
